CLAVE BMV,NOMBRE,Name (or Code),RIC,PO mean,po median,CLOSED,YTD,Upside mean
ACCELSA,"ACCEL, S.A.B. DE C.V.",Accel SAB de CV,ACCELSAB.MX,NULL,NULL,0,46.9231,#¡VALOR!
ACTINVR,"CORPORACION ACTINVER, S.A.B. DE C.V.",Corporacion Actinver SAB de CV,ACTINVRB.MX,NULL,NULL,12.8,2.4,#¡VALOR!
AGRIEXP,"AGRO INDUSTRIAL EXPORTADORA, S.A. DE C.V.",Agro Industrial Exportadora SA de CV,AGRIEXPA.MX,NULL,NULL,0,0,#¡VALOR!
AHMSA,"ALTOS HORNOS DE MEXICO, S.A. DE C.V.",Altos Hornos de Mexico SAB de CV,AHMSA.MX,NULL,NULL,0,0,#¡VALOR!
ARISTOS,"CONSORCIO ARISTOS, S.A.B. DE C.V.",Consorcio Aristos SAB de CV,ARISTOSA.MX,NULL,NULL,0,0,#¡VALOR!
BAFAR,"GRUPO BAFAR, S.A.B. DE C.V.",Grupo Bafar SAB de CV,BAFARB.MX,NULL,NULL,0,1.2346,#¡VALOR!
BEVIDES,"FARMACIAS BENAVIDES, S.A.B. DE C.V.",Farmacias Benavides SAB de CV,BEVIDESB.MX,NULL,NULL,0,0,#¡VALOR!
CABLE,"EMPRESAS CABLEVISION, S.A. DE C.V.",Empresas Cablevision SA de CV,CABLECPO.MX,NULL,NULL,0,0,#¡VALOR!
CERAMIC,"INTERNACIONAL DE CERAMICA, S.A.B. DE C.V.",Internacional de Ceramica SAB de CV,CERAMICB.MX,NULL,NULL,50,-1.9607,#¡VALOR!
CIDMEGA,"GRUPE, S.A.B. DE C.V.",Grupe SAB de CV,CIDMEGA.MX,NULL,NULL,0,0,#¡VALOR!
CIE,"CORPORACION INTERAMERICANA DE ENTRETENIMIENTO, S.A.B. DE C.V.",Corporacion Interamericana de Entretenimiento SAB de CV,CIEB.MX,NULL,NULL,14.95,-12.0587,#¡VALOR!
CMOCTEZ,"CORPORACION MOCTEZUMA, S.A.B. DE C.V.",Corporacion Moctezuma SAB de CV,CMOCTEZ.MX,NULL,NULL,59.1,0,#¡VALOR!
CMR,"CMR, S.A.B. DE C.V.",CMR SAB de CV,CMRB.MX,NULL,NULL,0,-2.4498,#¡VALOR!
COLLADO,"G COLLADO, S.A.B. DE C.V.",G Collado SAB de CV,COLLADO.MX,NULL,NULL,0,0,#¡VALOR!
CONVER,"CONVERTIDORA INDUSTRIAL, S.A.B. DE C.V.",Convertidora Industrial SAB de CV,CONVERA.MX,5,5,0,0,#¡DIV/0!
CULTIBA,"ORGANIZACIÓN CULTIBA, S.A.B. DE CV",Organizacion Cultiba SAB de CV,CULTIBAB.MX,NULL,NULL,16.18,-5.8754,#¡VALOR!
CYDSASA,"CYDSA, S.A.B. DE C.V.",Cydsa SAB de CV,CYDSASAA.MX,NULL,NULL,27.18,-15.0624,#¡VALOR!
DINE,"DINE, S.A.B. DE C.V.",Dine SAB de CV,DINEB.MX,NULL,NULL,0,-2.857,#¡VALOR!
EDOARDO,"EDOARDOS MARTIN, S.A.B. DE C.V.",Edoardos Martin SAB de CV,EDOARDOB.MX,NULL,NULL,0,0,#¡VALOR!
FINAMEX,"CASA DE BOLSA FINAMEX, S.A.B. DE C.V.",Casa de Bolsa Finamex SAB de CV,FINAMEXO.MX,43,43,0,-1.4741,#¡DIV/0!
FINDEP,"FINANCIERA INDEPENDENCIA, S.A.B. DE C.V. SOFOM, E.N.R.",Financiera Independencia SAB de CV SOFOM ENR,FINDEP.MX,NULL,NULL,1.88,-20.3389,#¡VALOR!
FRAGUA,"CORPORATIVO FRAGUA, S.A.B. DE C.V.",Corporativo Fragua SAB de CV,FRAGUAB.MX,324,324,0,0,#¡DIV/0!
GBM,"CORPORATIVO GBM, S.A.B. DE C. V.",Grupo Bursatil Mexicano SA de CV Casa de Bolsa,GBMO.MX,NULL,NULL,0,0,#¡VALOR!
GENSEG,"GENERAL DE SEGUROS, S.A.B.",General de Seguros SAB,GENSEG.MX,NULL,NULL,0,0,#¡VALOR!
GEO,"CORPORACION GEO, S.A.B. DE C.V.",Corporacion Geo SAB de CV,GEOB.MX,NULL,NULL,0,0,#¡VALOR!
GFMULTI,GRUPO FINANCIERO MULTIVA S.A.B. DE C.V.,Grupo Financiero Multiva SAB de CV,GFMULTIO.MX,NULL,NULL,0,0,#¡VALOR!
GIGANTE,"GRUPO GIGANTE, S.A.B. DE C.V.",Grupo Gigante SAB de CV,GIGANTE.MX,NULL,NULL,0,0,#¡VALOR!
GISSA,"GRUPO INDUSTRIAL SALTILLO, S.A.B. DE C.V.",Grupo Industrial Saltillo SAB de CV,GISSAA.MX,NULL,NULL,20.93,-22.4239,#¡VALOR!
GMD,"GRUPO MEXICANO DE DESARROLLO, S.A.B.",Grupo Mexicano de Desarrollo SAB,GMD.MX,NULL,NULL,0,-7.1428,#¡VALOR!
GNP,"GRUPO NACIONAL PROVINCIAL, S.A.B.",Grupo Nacional Provincial SAB,GNP.MX,53.1,53.1,0,8.3333,#¡DIV/0!
GOMO,"GRUPO COMERCIAL GOMO, S.A. DE C.V.",,GOMO.MX,NULL,NULL,0,0,#¡VALOR!
GPH,"GRUPO PALACIO DE HIERRO, S.A.B. DE C.V.",Grupo Palacio de Hierro SAB de CV,GPH1.MX,NULL,NULL,0,0,#¡VALOR!
GPROFUT,"GRUPO PROFUTURO, S.A.B. DE C.V.",Grupo Profuturo SAB de CV,GPROFUT.MX,NULL,NULL,0,0,#¡VALOR!
HIMEXSA,"HIMEXSA, S.A.B. DE C.V.",Himexsa SAB de CV,HIMEXSAA.MX,NULL,NULL,0,-99.9999,#¡VALOR!
