CLAVE BMV,NOMBRE,Name (or Code),RIC,PO mean,po median,CLOSED,YTD,Upside mean
AC,"ARCA CONTINENTAL, S.A.B. DE C.V.",Arca Continental SAB de CV,AC.MX,134.0706,135,106.91,-2.6053,0.254
AEROMEX,"GRUPO AEROMÉXICO, S.A.B. DE C.V.",Grupo Aeromexico SAB de CV,AEROMEX.MX,31,28.5,20.19,-9.054,0.535
AGUA,"GRUPO ROTOPLAS, S.A.B. DE C.V.",Rotoplas SA de CV,AGUA.MX,31,31,19.73,-10.6835,0.571
ALEATIC,"ALEATICA, S.A.B. DE C.V.",Aleatica SAB de CV,ALEATIC.MX,31.5,31.5,21.15,-16.3369,0.489
ALFA,"ALFA, S.A.B. DE C.V.",Alfa SAB de CV,ALFAA.MX,27.4563,27,20.73,-11.3344,0.324
ALPEK,"ALPEK, S.A.B. DE C.V.",Alpek SAB de CV,ALPEKA.MX,34.5625,35,26.39,9.7297,0.31
ALSEA,"ALSEA, S.A.B. DE C.V.",Alsea SAB de CV,ALSEA.MX,60.8429,61.5,41.68,-18.5141,0.46
AMX,"AMERICA MOVIL, S.A.B. DE C.V.",America Movil SAB de CV,AMXL.MX,17.3767,17,13.82,-1.0736,0.257
ANB,ANHEUSER-BUSCH INBEV SA/NV,,ANB.MX,82.2924,83,1603.83,0,-0.949
ARA,"CONSORCIO ARA, S.A.B. DE C.V.",Consorcio Ara SAB de CV,ARA.MX,6.5333,6.6,5.07,-0.3928,0.289
ASUR,"GRUPO AEROPORTUARIO DEL SURESTE, S.A.B. DE C.V.",Grupo Aeroportuario del Sureste SAB de CV,ASURB.MX,354.025,358,310.07,4.6756,0.142
AUTLAN,"COMPAÑIA MINERA AUTLAN, S.A.B. DE C. V.",Compania Minera Autlan SAB de CV,AUTLANB.MX,18,18,10.8,-24.0505,0.667
AXTEL,"AXTEL, S.A.B. DE C.V.",Axtel SAB de CV,AXTELCPO.MX,4.675,4.75,2.36,-20.5386,0.981
AZTECA,"TV AZTECA , S.A.B. DE C.V.",TV Azteca SAB de CV,AZTECACPO.MX,1.8667,2,2.15,-7.3275,-0.132
BACHOCO,"INDUSTRIAS BACHOCO, S.A.B. DE C.V.",Industrias Bachoco SAB de CV,BACHCOB.MX,83.8333,84,73.08,13.2672,0.147
BBAJIO,"BANCO DEL BAJÍO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",Banco del Bajio SA Institucion de Banca Multiple,BBAJIOO.MX,44.625,44.5,38.58,0.5473,0.157
BBVA,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",,BBVA.MX,6.0146,6,116.65,12.1635,-0.948
BIMBO,"GRUPO BIMBO, S.A.B. DE C.V.",Grupo Bimbo SAB de CV,BIMBOA.MX,44.7353,44,40.61,3.7292,0.102
BOLSA,"BOLSA MEXICANA DE VALORES, S.A.B. DE C.V.",Bolsa Mexicana de Valores SAB de CV,BOLSAA.MX,41.8889,41.5,39.76,18.722,0.054
BSMX,"BANCO SANTANDER (MEXICO), S.A., INSTITUCION DE BANCA MULTIPLE, GRUPO FINANCIERO SANTANDER",Banco Santander Mexico SA Institucion de Banca Multiple Grupo Financiero Santand,BSMXB.MX,29.5067,29.1,26.57,8.8934,0.111
C,CITIGROUP INC.,,C.MX,77.52,76,1250.6,23.2118,-0.938
CADU,CORPOVAEL S.A.B. DE C.V.,Cadu Inmobiliaria SA de CV,CADUA.MX,14.5,14.5,14.85,-0.9999,-0.024
CEMEX,"CEMEX, S.A.B. DE C.V.",Cemex SAB de CV,CMXCPO.MX,13.3407,12.8,9.26,-2.4235,0.441
CHDRAUI,"GRUPO COMERCIAL CHEDRAUI, S.A.B. DE C.V.",Grupo Comercial Chedraui SAB de CV,CHDRAUIB.MX,45.5455,46,38.58,-2.0811,0.181
CREAL,"CREDITO REAL, S.A.B. DE C.V., SOFOM, E.R.",Credito Real SAB de CV Sofom ER,CREAL.MX,29.4,29,21.71,22.8636,0.354
CUERVO,"BECLE, S.A.B. DE C.V.",Becle SAB de CV,CUERVO.MX,26.7333,27,30.51,16.1843,-0.124
ELEKTRA,"GRUPO ELEKTRA, S.A.B. DE C.V.",Grupo Elektra SAB de CV,ELEKTRA.MX,1046,1046,1049.61,10.2613,-0.003
ELEMENT,"ELEMENTIA, S.A.B. DE C.V.",Elementia SAB de CV,ELEMENT.MX,17.7125,15.5,10.42,-17.3015,0.7
FEMSA,"FOMENTO ECONÓMICO MEXICANO, S.A.B. DE C.V.",Fomento Economico Mexicano SAB de CV,FMSAUBD.MX,198.75,201.5,178.35,5.7014,0.114
FRES,FRESNILLO PLC,,FRES.L,1065.7279,1099.919,882,2.5581,0.208
GAP,"GRUPO AEROPORTUARIO DEL PACIFICO, S.A.B. DE C.V.",Grupo Aeroportuario del Pacifico SAB de CV,GAPB.MX,194.3526,193,177.95,11.3301,0.092
GCARSO,"GRUPO CARSO, S.A.B. DE C.V.",Grupo Carso SAB de CV,GCARSOA1.MX,71,71,73.79,4.8005,-0.038
GCC,"GRUPO CEMENTOS DE CHIHUAHUA, S.A.B. DE C.V.",Grupo Cementos de Chihuahua SAB de CV,GCC.MX,140.6111,142,106.15,5.685,0.325
GENTERA,"GENTERA, S.A.B. DE C.V.",Gentera SAB de CV,GENTERA.MX,19.6933,20,16.21,11.9475,0.215
GFAMSA,"GRUPO FAMSA, S.A.B. DE C.V.",Grupo Famsa SAB de CV,GFAMSAA.MX,11.6,11.6,6.4,-31.1827,0.813
GFINBUR,"GRUPO FINANCIERO INBURSA, S.A.B. DE C.V.",Grupo Financiero Inbursa SAB de CV,GFINBURO.MX,28.4444,28,27.12,-4.1356,0.049
GFNORTE,"GRUPO FINANCIERO BANORTE, S.A.B DE C.V.",Grupo Financiero Banorte SAB de CV,GFNORTEO.MX,131.1824,125,108.95,13.8025,0.204
GICSA,"GRUPO GICSA, S.A.B. DE C.V.",Grupo Gicsa SAB de CV,GICSAB.MX,10.7,10.5,6.27,-1.415,0.707
